39 4.0000 4.0000 3.0000 4.0000 4.0000 4.0000 4.0000 4.0000 4.0000 4.0000 5.0000 5.0000 4.0000 7.0000 6.0000 5.0000 6.0000 3.0000 6.0000 6.0000 5.0000 6.0000 5.0000 3.0000 2.0000 2.0000 3.0000 3.0000 7.0000 7.0000 7.0000 7.0000 1.0000 7.0000 7.0000 7.0000 7.0000 1.0000
40 4.0000 4.0000 4.0000 3.0000 4.0000 5.0000 6.0000 3.0000 7.0000 7.0000 7.0000 5.0000 7.0000 7.0000 6.0000 5.0000 7.0000 5.0000 5.0000 6.0000 5.0000 6.0000 7.0000 4.0000 3.0000 4.0000 3.0000 3.0000 4.0000 3.0000 3.0000 3.0000 7.0000 3.0000 4.0000 3.0000 3.0000 5.0000
39 4.0000 5.0000 4.0000 5.0000 4.0000 4.0000 5.0000 6.0000 5.0000 1.0000 4.0000 7.0000 4.0000 4.0000 5.0000 6.0000 6.0000 3.0000 5.0000 4.0000 4.0000 4.0000 4.0000 3.0000 4.0000 2.0000 4.0000 2.0000 6.0000 6.0000 7.0000 7.0000 2.0000 6.0000 6.0000 5.0000 7.0000 2.0000
41 5.0000 4.0000 5.0000 6.0000 5.0000 5.0000 3.0000 4.0000 3.0000 4.0000 6.0000 6.0000 5.0000 3.0000 2.0000 4.0000 1.0000 5.0000 4.0000 4.0000 4.0000 3.0000 5.0000 4.0000 4.0000 5.0000 5.0000 4.0000 4.0000 4.0000 4.0000 4.0000 3.0000 4.0000 4.0000 4.0000 4.0000 4.0000
42 2.0000 4.0000 4.0000 4.0000 3.0000 3.0000 5.0000 5.0000 7.0000 4.0000 6.0000 5.0000 5.0000 4.0000 4.0000 6.0000 1.0000 6.0000 4.0000 7.0000 4.0000 4.0000 5.0000 2.0000 1.0000 1.0000 1.0000 3.0000 7.0000 7.0000 6.0000 7.0000 1.0000 7.0000 7.0000 7.0000 6.0000 1.0000
43 4.0000 4.0000 5.0000 5.0000 4.0000 3.0000 4.0000 7.0000 5.0000 5.0000 6.0000 4.0000 6.0000 4.0000 4.0000 4.0000 3.0000 5.0000 3.0000 3.0000 4.0000 5.0000 6.0000 3.0000 3.0000 3.0000 3.0000 4.0000 2.0000 2.0000 3.0000 1.0000 6.0000 2.0000 3.0000 3.0000 3.0000 5.0000
44 3.0000 4.0000 3.0000 3.0000 4.0000 3.0000 4.0000 4.0000 6.0000 6.0000 5.0000 4.0000 3.0000 4.0000 7.0000 6.0000 4.0000 5.0000 5.0000 4.0000 5.0000 4.0000 5.0000 3.0000 2.0000 3.0000 2.0000 2.0000 3.0000 3.0000 3.0000 3.0000 5.0000 3.0000 3.0000 2.0000 2.0000 6.0000
45 6.0000 4.0000 5.0000 4.0000 5.0000 4.0000 6.0000 7.0000 5.0000 6.0000 5.0000 5.0000 6.0000 5.0000 3.0000 5.0000 5.0000 7.0000 6.0000 6.0000 5.0000 6.0000 5.0000 3.0000 4.0000 4.0000 3.0000 2.0000 6.0000 5.0000 6.0000 6.0000 1.0000 7.0000 6.0000 5.0000 6.0000 4.0000
18 4.0000 4.0000 4.0000 6.0000 6.0000 4.0000 1.0000 3.0000 3.0000 4.0000 4.0000 1.0000 4.0000 2.0000 3.0000 4.0000 1.0000 3.0000 3.0000 4.0000 2.0000 4.0000 2.0000 3.0000 4.0000 2.0000 2.0000 2.0000 6.0000 6.0000 7.0000 6.0000 1.0000 6.0000 7.0000 7.0000 6.0000 1.0000
27 5.0000 5.0000 4.0000 6.0000 5.0000 5.0000 4.0000 1.0000 2.0000 3.0000 3.0000 1.0000 3.0000 2.0000 2.0000 2.0000 4.0000 5.0000 4.0000 3.0000 4.0000 4.0000 3.0000 6.0000 6.0000 6.0000 6.0000 6.0000 7.0000 7.0000 6.0000 7.0000 1.0000 5.0000 7.0000 6.0000 6.0000 1.0000
