"model","eq","term","b","se","p"
"M2","ME_int","Narcissism_c:Empowering_c",0.0729877271641603,0.0711191352192922,0.305491974496594
"M2","ME_int","Autocratic_c:PowerDistance_c",-0.137901275546941,0.0631512617824558,0.0296698636872621
"M2","ME_int","Empowering_c:PowerDistance_c",0.0563727784388417,0.0596300920600988,0.345138974544105
"M2","THR","(Intercept)",0.000347548377128765,0.0389282672225501,0.992899606446841
"M2","THR","BenignEnvy_c",0.240151342600936,0.0359413915146951,1.01938161999937e-10
"M2","THR","MaliciousEnvy_c",-0.177064475202961,0.0378770723850581,4.28870418348562e-06
"M2","THR","Autocratic_c",0.0453953038718691,0.0510637622064778,0.374661627801135
"M2","THR","Empowering_c",-0.00148281050038115,0.0467061875696809,0.974693043040659
"M2","THR","Narcissism_c",-0.0377951902225564,0.0411378298745055,0.358913450849861
"M2","THR","PowerDistance_c",-0.00559442867430649,0.0409674964359978,0.891464777744951
"M2","OCBS","(Intercept)",0.00181111111346659,0.0817949091892951,0.982389575702422
"M2","OCBS","BenignEnvy_c",0.294200595980623,0.0524059650482851,4.52315816955016e-08
"M2","OCBS","MaliciousEnvy_c",-0.169141018534363,0.0555634598975946,0.0025378284022729
"M2","OCBS","Autocratic_c",-0.0548390144113994,0.0787835705063853,0.486866527978279
"M2","OCBS","Empowering_c",-0.0267057441717645,0.0723599163523056,0.712309328985935
"M2","OCBS","Narcissism_c",-0.0253032397749074,0.0634851787278075,0.690465230609098
"M2","OCBS","PowerDistance_c",-0.00107447470494335,0.0632215991863357,0.986450425903271
"M2","CWBS","(Intercept)",-0.00165169636426348,0.0646677292920237,0.979690675844181
"M2","CWBS","BenignEnvy_c",-0.216418554914008,0.0461093856941042,4.0684079914804e-06
"M2","CWBS","MaliciousEnvy_c",0.181294289239142,0.0488156223688554,0.000242070396690835
"M2","CWBS","Autocratic_c",-0.00492199627927433,0.0683909415067901,0.942669337000136
"M2","CWBS","Empowering_c",0.0181654662215962,0.0627664108077289,0.77244122793849
"M2","CWBS","Narcissism_c",0.0452239606402976,0.0551352188963556,0.412656939873923
"M2","CWBS","PowerDistance_c",0.00453382273946955,0.0548840471514774,0.934212501211434
"M3","BE_main","(Intercept)",0.0231338094856256,0.0812000712418696,0.775895068737988
"M3","BE_main","Autocratic_c",-0.495581808983149,0.0639798966112117,1.10237328084649e-13
"M3","BE_main","Empowering_c",0.523316047165738,0.0594932053589199,7.22082935134947e-17
"M3","BE_main","Narcissism_c",-0.0520580740705098,0.0608559995547334,0.392915308348447
"M3","BE_main","PowerDistance_c",-0.0707448950569777,0.060997532459667,0.24694433015552
"M3","BE_main","FollowerAge_c",0.0131084951314955,0.0117373379042729,0.264859848119845
"M3","BE_main","Gender_Male",-0.0411806032728413,0.108924687016664,0.705618289514971
"M3","BE_main","TenureWithLeader_c",0.0275166868382336,0.0369561872771535,0.457042452628557
"M3","BE_main","InteractionFreq_c",-0.00335924331332755,0.0501612369709532,0.946645817191963
"M3","BE_int","(Intercept)",0.0130863048172432,0.0811888407929025,0.872044576066393
"M3","BE_int","Autocratic_c",-0.502596135758235,0.0639634876940288,5.20468109534992e-14
"M3","BE_int","Narcissism_c",-0.0565847492804205,0.0608194105176651,0.352837993575093
"M3","BE_int","Empowering_c",0.520224107250309,0.0595063250637328,1.06685979003669e-16
"M3","BE_int","PowerDistance_c",-0.0836127055585769,0.0608390843140579,0.170245851531275
"M3","BE_int","FollowerAge_c",0.0104851399627903,0.011688754417887,0.370338691418169
"M3","BE_int","Gender_Male",-0.0356362259151198,0.108599389843671,0.743004859080726
"M3","BE_int","TenureWithLeader_c",0.0332579977670665,0.0368038054029738,0.366817375377831
"M3","BE_int","InteractionFreq_c",0.00455098338015732,0.0498400839878784,0.927298684993225
"M3","BE_int","Autocratic_c:Narcissism_c",-0.0420246914250089,0.074918335449467,0.575207918976636
