"model","eq","term","b","se","p","ci_lo","ci_hi"
"M1","OCBS","MaliciousEnvy_c",-0.0401322533863912,0.075832340063582,0.592666666666667,-0.19114716425,0.1089668575
"M1","OCBS","Autocratic_c",-0.105800770466996,0.103801614351243,0.311666666666667,-0.31466419875,0.0938220128499999
"M1","OCBS","Empowering_c",-0.0206284012194484,0.0913820646938894,0.820666666666667,-0.20145814625,0.1564010555
"M1","OCBS","Narcissism_c",-0.0466069407290235,0.0717869803519891,0.510333333333333,-0.1855758835,0.0961593912249997
"M1","OCBS","PowerDistance_c",0.048655530550709,0.0731621019389298,0.505666666666667,-0.0975267488,0.191248018
"M1","OCBS","FollowerAge_c",0.00612950216523517,0.0132068347370172,0.643666666666667,-0.019877486175,0.0317504199
"M1","OCBS","Gender_Male",-0.0167256623667867,0.123622556896961,0.888,-0.2558345615,0.22445547775
"M1","OCBS","TenureWithLeader_c",0.0985545947253138,0.0410806531606671,0.0163333333333333,0.017795236125,0.17977141525
"M1","OCBS","InteractionFreq_c",0.0260320701477865,0.0565251951524472,0.653,-0.0818468393,0.13632356075
"M1","CWBS","Intercept",-0.0355077676498188,0.0889750426808773,0.691333333333333,-0.21009503025,0.13751337275
"M1","CWBS","BenignEnvy_c",-0.292224747766167,0.0545447757442931,0,-0.39856214225,-0.18448682475
"M1","CWBS","MaliciousEnvy_c",0.0520719076999539,0.0610918484171731,0.389666666666667,-0.067846093525,0.16988264975
"M1","CWBS","Autocratic_c",-0.00789042540539616,0.0841941376140428,0.919,-0.17269630375,0.155462838
"M1","CWBS","Empowering_c",0.0335485046092028,0.0735602181833014,0.645,-0.1089867635,0.180282995
"M1","CWBS","Narcissism_c",0.0556505090229798,0.0588213484587725,0.333,-0.0600745485,0.1699621305
"M1","CWBS","PowerDistance_c",0.00655533611906983,0.0577848289759504,0.899,-0.108184632,0.11904241825
"M1","CWBS","FollowerAge_c",-0.00475321659524127,0.010964921758078,0.662,-0.0260650468,0.016594390625
"M1","CWBS","Gender_Male",0.0581548030460653,0.100675180108981,0.556333333333333,-0.1412991505,0.255667642
"M1","CWBS","TenureWithLeader_c",-0.0289074011003537,0.0329142909939148,0.381666666666667,-0.093412871025,0.035067810225
"M1","CWBS","InteractionFreq_c",-0.00265168716128307,0.0450546415106881,0.969,-0.0904949242,0.086462182775
